county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
48201,Harris,Texas,4/17/20,87700000,208292804,-57.9,68828571.43,-66.96,4/10/20,61714285.71,11.53
48339,Montgomery,Texas,4/15/20,16200000,41917785,-61.35,13738571.43,-67.22,4/8/20,12334285.71,11.39
48157,Fort Bend,Texas,4/16/20,9680000,34875882,-72.24,8010000,-77.03,4/10/20,7191428.57,11.38
48039,Brazoria,Texas,4/16/20,8820000,19953830,-55.8,7117142.86,-64.33,4/8/20,6410000,11.03
48039,Brazoria,Texas,3/31/20,7200000,19953830,-63.92,7107142.86,-64.38,4/8/20,6410000,10.88
48201,Harris,Texas,4/2/20,74100000,208292804,-64.43,68414285.71,-67.15,4/10/20,61714285.71,10.86
48201,Harris,Texas,4/1/20,75500000,208292804,-63.75,68357142.86,-67.18,4/10/20,61714285.71,10.76
48201,Harris,Texas,3/31/20,72900000,208292804,-65,68342857.14,-67.19,4/10/20,61714285.71,10.74
48339,Montgomery,Texas,4/2/20,14200000,41917785,-66.12,13641428.57,-67.46,4/8/20,12334285.71,10.6
48201,Harris,Texas,4/3/20,76300000,208292804,-63.37,67814285.71,-67.44,4/10/20,61714285.71,9.88
48039,Brazoria,Texas,4/1/20,7460000,19953830,-62.61,7031428.57,-64.76,4/8/20,6410000,9.69
48039,Brazoria,Texas,4/15/20,7750000,19953830,-61.16,7027142.86,-64.78,4/8/20,6410000,9.63
48339,Montgomery,Texas,4/14/20,15400000,41917785,-63.26,13495714.29,-67.8,4/8/20,12334285.71,9.42
48157,Fort Bend,Texas,4/4/20,5540000,34875882,-84.12,7852857.14,-77.48,4/10/20,7191428.57,9.2
48167,Galveston,Texas,4/2/20,7260000,19131266,-62.05,6351428.57,-66.8,4/9/20,5825714.29,9.02
48157,Fort Bend,Texas,4/15/20,9120000,34875882,-73.85,7834285.71,-77.54,4/10/20,7191428.57,8.94
48167,Galveston,Texas,4/16/20,7800000,19131266,-59.23,6341428.57,-66.85,4/9/20,5825714.29,8.85
48167,Galveston,Texas,3/31/20,6530000,19131266,-65.87,6320000,-66.97,4/9/20,5825714.29,8.48
48039,Brazoria,Texas,4/14/20,7530000,19953830,-62.26,6944285.71,-65.2,4/8/20,6410000,8.34
48167,Galveston,Texas,4/1/20,6730000,19131266,-64.82,6308571.43,-67.02,4/9/20,5825714.29,8.29
48167,Galveston,Texas,4/3/20,6760000,19131266,-64.67,6284285.71,-67.15,4/9/20,5825714.29,7.87
48039,Brazoria,Texas,4/2/20,7240000,19953830,-63.72,6908571.43,-65.38,4/8/20,6410000,7.78
48201,Harris,Texas,4/16/20,80000000,208292804,-61.59,66514285.71,-68.07,4/10/20,61714285.71,7.78
48201,Harris,Texas,4/4/20,48700000,208292804,-76.62,66271428.57,-68.18,4/10/20,61714285.71,7.38
48339,Montgomery,Texas,4/3/20,14500000,41917785,-65.41,13227142.86,-68.45,4/8/20,12334285.71,7.24
48167,Galveston,Texas,4/15/20,7110000,19131266,-62.84,6240000,-67.38,4/9/20,5825714.29,7.11
48339,Montgomery,Texas,4/13/20,13900000,41917785,-66.84,13210000,-68.49,4/8/20,12334285.71,7.1
48039,Brazoria,Texas,4/3/20,7910000,19953830,-60.36,6852857.14,-65.66,4/8/20,6410000,6.91
48039,Brazoria,Texas,4/13/20,7360000,19953830,-63.11,6838571.43,-65.73,4/8/20,6410000,6.69
48157,Fort Bend,Texas,4/14/20,8570000,34875882,-75.43,7671428.57,-78,4/10/20,7191428.57,6.67
48201,Harris,Texas,4/15/20,76400000,208292804,-63.32,65628571.43,-68.49,4/10/20,61714285.71,6.34
48167,Galveston,Texas,4/4/20,4680000,19131266,-75.54,6181428.57,-67.69,4/9/20,5825714.29,6.11
48339,Montgomery,Texas,4/12/20,8270000,41917785,-80.27,13038571.43,-68.89,4/8/20,12334285.71,5.71
48157,Fort Bend,Texas,4/5/20,4850000,34875882,-86.09,7581428.57,-78.26,4/10/20,7191428.57,5.42
48339,Montgomery,Texas,4/11/20,11700000,41917785,-72.09,13001428.57,-68.98,4/8/20,12334285.71,5.41
48157,Fort Bend,Texas,4/13/20,7740000,34875882,-77.81,7540000,-78.38,4/10/20,7191428.57,4.85
48201,Harris,Texas,4/14/20,72800000,208292804,-65.05,64685714.29,-68.94,4/10/20,61714285.71,4.81
48157,Fort Bend,Texas,4/6/20,7250000,34875882,-79.21,7534285.71,-78.4,4/10/20,7191428.57,4.77
48201,Harris,Texas,4/5/20,39900000,208292804,-80.84,64657142.86,-68.96,4/10/20,61714285.71,4.77
48039,Brazoria,Texas,4/12/20,4940000,19953830,-75.24,6712857.14,-66.36,4/8/20,6410000,4.72
48167,Galveston,Texas,4/14/20,6450000,19131266,-66.29,6092857.14,-68.15,4/9/20,5825714.29,4.59
48039,Brazoria,Texas,4/4/20,4980000,19953830,-75.04,6678571.43,-66.53,4/8/20,6410000,4.19
48201,Harris,Texas,4/6/20,62600000,208292804,-69.95,64285714.29,-69.14,4/10/20,61714285.71,4.17
48339,Montgomery,Texas,4/4/20,9030000,41917785,-78.46,12831428.57,-69.39,4/8/20,12334285.71,4.03
48157,Fort Bend,Texas,4/12/20,5030000,34875882,-85.58,7470000,-78.58,4/10/20,7191428.57,3.87
48167,Galveston,Texas,4/5/20,4200000,19131266,-78.05,6041428.57,-68.42,4/9/20,5825714.29,3.7
48167,Galveston,Texas,4/13/20,6550000,19131266,-65.76,6040000,-68.43,4/9/20,5825714.29,3.68
48157,Fort Bend,Texas,4/11/20,7310000,34875882,-79.04,7444285.71,-78.65,4/10/20,7191428.57,3.52
48039,Brazoria,Texas,4/11/20,6080000,19953830,-69.53,6621428.57,-66.82,4/8/20,6410000,3.3
48201,Harris,Texas,4/13/20,65500000,208292804,-68.55,63671428.57,-69.43,4/10/20,61714285.71,3.17
48167,Galveston,Texas,4/6/20,5890000,19131266,-69.21,6007142.86,-68.6,4/9/20,5825714.29,3.11
48157,Fort Bend,Texas,4/7/20,7650000,34875882,-78.07,7391428.57,-78.81,4/10/20,7191428.57,2.78
48201,Harris,Texas,4/12/20,42900000,208292804,-79.4,63257142.86,-69.63,4/10/20,61714285.71,2.5
48201,Harris,Texas,4/7/20,65700000,208292804,-68.46,63257142.86,-69.63,4/10/20,61714285.71,2.5
48339,Montgomery,Texas,4/10/20,15400000,41917785,-63.26,12620000,-69.89,4/8/20,12334285.71,2.32
48039,Brazoria,Texas,4/5/20,4300000,19953830,-78.45,6551428.57,-67.17,4/8/20,6410000,2.21
48039,Brazoria,Texas,4/9/20,8190000,19953830,-58.96,6545714.29,-67.2,4/8/20,6410000,2.12
48167,Galveston,Texas,4/12/20,4240000,19131266,-77.84,5945714.29,-68.92,4/9/20,5825714.29,2.06
48167,Galveston,Texas,4/7/20,6080000,19131266,-68.22,5942857.14,-68.94,4/9/20,5825714.29,2.01
48167,Galveston,Texas,4/11/20,5430000,19131266,-71.62,5940000,-68.95,4/9/20,5825714.29,1.96
48339,Montgomery,Texas,4/5/20,8010000,41917785,-80.89,12562857.14,-70.03,4/8/20,12334285.71,1.85
48201,Harris,Texas,4/11/20,56500000,208292804,-72.87,62828571.43,-69.84,4/10/20,61714285.71,1.81
48039,Brazoria,Texas,4/6/20,6480000,19953830,-67.53,6510000,-67.37,4/8/20,6410000,1.56
48339,Montgomery,Texas,4/6/20,12700000,41917785,-69.7,12505714.29,-70.17,4/8/20,12334285.71,1.39
48339,Montgomery,Texas,4/9/20,15300000,41917785,-63.5,12491428.57,-70.2,4/8/20,12334285.71,1.27
48201,Harris,Texas,4/8/20,69800000,208292804,-66.49,62442857.14,-70.02,4/10/20,61714285.71,1.18
48201,Harris,Texas,4/9/20,73800000,208292804,-64.57,62400000,-70.04,4/10/20,61714285.71,1.11
48039,Brazoria,Texas,4/10/20,7340000,19953830,-63.22,6464285.71,-67.6,4/8/20,6410000,0.85
48157,Fort Bend,Texas,4/9/20,8450000,34875882,-75.77,7250000,-79.21,4/10/20,7191428.57,0.81
48157,Fort Bend,Texas,4/8/20,7980000,34875882,-77.12,7250000,-79.21,4/10/20,7191428.57,0.81
48039,Brazoria,Texas,4/7/20,6790000,19953830,-65.97,6451428.57,-67.67,4/8/20,6410000,0.65
48167,Galveston,Texas,4/8/20,6080000,19131266,-68.22,5850000,-69.42,4/9/20,5825714.29,0.42
48167,Galveston,Texas,4/10/20,6810000,19131266,-64.4,5832857.14,-69.51,4/9/20,5825714.29,0.12
48339,Montgomery,Texas,4/7/20,13400000,41917785,-68.03,12348571.43,-70.54,4/8/20,12334285.71,0.12
48039,Brazoria,Texas,4/8/20,7170000,19953830,-64.07,6410000,-67.88,4/8/20,6410000,0
48157,Fort Bend,Texas,4/10/20,8620000,34875882,-75.28,7191428.57,-79.38,4/10/20,7191428.57,0
48167,Galveston,Texas,4/9/20,7090000,19131266,-62.94,5825714.29,-69.55,4/9/20,5825714.29,0
48201,Harris,Texas,4/10/20,71500000,208292804,-65.67,61714285.71,-70.37,4/10/20,61714285.71,0
48339,Montgomery,Texas,4/8/20,14500000,41917785,-65.41,12334285.71,-70.58,4/8/20,12334285.71,0
48039,Brazoria,Texas,3/6/20,33400000,19953830,67.39,,,4/8/20,6410000,
48039,Brazoria,Texas,3/5/20,26200000,19953830,31.3,,,4/8/20,6410000,
48039,Brazoria,Texas,3/4/20,20700000,19953830,3.74,,,4/8/20,6410000,
48039,Brazoria,Texas,3/3/20,20100000,19953830,0.73,,,4/8/20,6410000,
48039,Brazoria,Texas,3/2/20,18800000,19953830,-5.78,,,4/8/20,6410000,
48039,Brazoria,Texas,3/1/20,22900000,19953830,14.76,,,4/8/20,6410000,
48157,Fort Bend,Texas,3/6/20,58600000,34875882,68.02,,,4/10/20,7191428.57,
48157,Fort Bend,Texas,3/5/20,52000000,34875882,49.1,,,4/10/20,7191428.57,
48157,Fort Bend,Texas,3/4/20,35000000,34875882,0.36,,,4/10/20,7191428.57,
48157,Fort Bend,Texas,3/3/20,32300000,34875882,-7.39,,,4/10/20,7191428.57,
48157,Fort Bend,Texas,3/2/20,32800000,34875882,-5.95,,,4/10/20,7191428.57,
48157,Fort Bend,Texas,3/1/20,36600000,34875882,4.94,,,4/10/20,7191428.57,
48167,Galveston,Texas,3/6/20,34200000,19131266,78.76,,,4/9/20,5825714.29,
48167,Galveston,Texas,3/5/20,25000000,19131266,30.68,,,4/9/20,5825714.29,
48167,Galveston,Texas,3/4/20,19800000,19131266,3.5,,,4/9/20,5825714.29,
48167,Galveston,Texas,3/3/20,19400000,19131266,1.4,,,4/9/20,5825714.29,
48167,Galveston,Texas,3/2/20,17600000,19131266,-8,,,4/9/20,5825714.29,
48167,Galveston,Texas,3/1/20,21900000,19131266,14.47,,,4/9/20,5825714.29,
48201,Harris,Texas,3/6/20,322000000,208292804,54.59,,,4/10/20,61714285.71,
48201,Harris,Texas,3/5/20,256000000,208292804,22.9,,,4/10/20,61714285.71,
48201,Harris,Texas,3/4/20,212000000,208292804,1.78,,,4/10/20,61714285.71,
48201,Harris,Texas,3/3/20,202000000,208292804,-3.02,,,4/10/20,61714285.71,
48201,Harris,Texas,3/2/20,197000000,208292804,-5.42,,,4/10/20,61714285.71,
48201,Harris,Texas,3/1/20,227000000,208292804,8.98,,,4/10/20,61714285.71,
48339,Montgomery,Texas,3/6/20,78800000,41917785,87.99,,,4/8/20,12334285.71,
48339,Montgomery,Texas,3/5/20,55700000,41917785,32.88,,,4/8/20,12334285.71,
48339,Montgomery,Texas,3/4/20,44900000,41917785,7.11,,,4/8/20,12334285.71,
48339,Montgomery,Texas,3/3/20,42600000,41917785,1.63,,,4/8/20,12334285.71,
48339,Montgomery,Texas,3/2/20,43000000,41917785,2.58,,,4/8/20,12334285.71,
48339,Montgomery,Texas,3/1/20,45600000,41917785,8.78,,,4/8/20,12334285.71,
